Northing,Easting,Elevation(m)
5934348.3,332797.2,616.3
5934339.5,332791.8,616.7
5934334.5,332788.0,616.9
5934328.3,332784.1,617.2
5934317.0,332776.3,618.2
5934304.6,332768.4,619.7
5934294.6,332763.1,621.1
5934278.4,332792.8,621.9
5934297.0,332803.5,619.2
5934321.9,332819.3,616.9
5934343.3,332831.4,616.0
5934377.4,332852.8,616.3
5934412.9,332872.0,617.6
5934441.9,332886.4,619.6
5934479.6,332904.2,621.5
5934502.8,332915.6,622.5
5934517.0,332921.5,623.2
5934524.5,332925.2,623.4
5934526.1,332931.8,623.5
5934523.5,332934.3,623.4
5934499.8,332937.5,622.4
5934487.5,332937.9,621.9
5934455.6,332931.6,620.6
5934417.3,332917.3,617.9
5934415.2,332914.9,617.8
5934379.7,332897.1,616.4
5934360.7,332886.1,616.0
5934340.7,332869.3,616.0
5934323.2,332855.1,616.3
5934305.8,332843.2,617.5
5934288.4,332831.4,619.5
5934276.0,332823.5,621.2
5934267.2,332818.2,622.5
5934284.7,332865.5,618.7
5934327.4,332883.1,616.0
5934369.1,332904.2,616.2
5934408.8,332927.3,617.5
5934430.1,332940.7,618.9
5934461.6,332958.6,620.9
5934476.6,332969.0,621.5
5934487.4,332975.4,621.9
5934499.2,332982.2,622.5
5934499.8,332990.3,622.5
5934510.3,333000.8,623.0
5934497.2,333001.9,622.4
5934457.9,332998.0,620.8
5934419.2,332987.0,618.1
5934398.8,332975.5,617.1
5934385.4,332959.2,616.6
5934366.5,332942.2,616.2
5934343.8,332926.2,616.0
5934326.3,332914.1,616.0
5934303.8,332900.5,616.9
5934287.6,332889.9,618.0
5934282.6,332887.1,618.3
5934267.8,332876.6,619.5
5934250.6,332864.8,622.4
5934241.0,332889.1,621.9
5934260.7,332901.1,619.5
5934290.4,332917.7,616.7
5934319.1,332935.4,616.0
5934345.5,332951.8,616.0
5934383.2,332977.5,616.5
5934421.7,333006.3,618.4
5934449.0,333025.1,620.5
5934464.1,333035.4,621.1
5934480.8,333047.1,621.8
5934484.8,333052.1,622.0
5934479.7,333048.2,621.7
5934428.1,333015.3,618.9
5934381.4,332992.4,616.5
5934376.4,332989.6,616.4
5934324.5,332964.7,616.0
5934290.7,332947.6,616.5
5934271.9,332940.0,617.6
5934255.8,332931.6,619.0
5934248.4,332928.6,619.5
5934228.7,332919.8,621.4
5934212.5,332914.8,623.5
5934221.0,332923.6,622.2
5934270.1,332957.0,617.3
5934333.7,332994.5,615.5
5934386.9,333020.9,616.7
5934434.9,333048.0,619.5
5934458.1,333062.3,620.9
5934477.4,333076.1,621.8
5934489.0,333086.7,622.4
5934488.7,333097.3,622.5
5934437.4,333083.2,620.0
5934410.2,333070.1,618.7
5934346.2,333042.1,615.8
5934305.8,333023.9,615.5
5934279.6,333010.7,616.3
5934252.3,332995.2,617.1
5934231.4,332983.9,618.4
5934213.0,332975.2,620.4
5934201.6,332970.4,621.7
5934205.6,332960.6,621.9
5934222.2,332961.3,620.3
5934224.7,332961.6,620.1
5934270.7,332974.2,616.9
5934320.7,333001.2,615.2
5934381.6,333037.4,616.5
5934413.9,333052.2,618.1
5934419.2,333056.4,618.6
5934436.2,333047.0,619.6
5934439.0,333042.6,619.9
5934840.3,332178.0,622.7
5934840.8,332127.5,620.2
5934848.6,332092.8,619.6
5934859.3,332048.5,618.5
5934849.5,331999.9,617.0
5934846.6,332000.0,617.0
5934809.6,332071.1,617.5
5934783.3,332169.4,619.9
5934769.6,332197.2,620.0
5934757.4,332222.5,620.0
5934755.8,332227.4,620.2
5934738.1,332269.6,620.4
5934718.9,332309.0,619.9
5934694.1,332340.1,619.0
5934692.4,332349.4,619.4
5934671.6,332383.5,619.9
5934639.5,332425.6,619.8
5934610.4,332473.4,620.4
5934607.8,332478.1,620.4
5934575.7,332542.8,621.4
5934545.7,332597.3,621.3
5934525.4,332645.8,620.5
5934505.5,332682.1,620.3
5934495.6,332711.9,619.9
5934485.1,332740.6,619.7
5934470.7,332779.3,620.0
